time (h),No 1-1,No 1-2,No 1-3,No 1-4,No 1-5,No 1-6,No 1-7,No 1-8,No 1-9,No 1-10,No 1-11,No 1-12
1,0.002,0.007,0.004,0.005,0.001,0.001,-0.001,-0.001,0.001,0.002,0.002,0.001
2,0.003,0.008,0.005,0.006,0.002,0.002,0,0,0.001,0.003,0.002,0.001
3,0.005,0.01,0.008,0.008,0.005,0.004,0,0,0.001,0.003,0.002,0.006
4,0.013,0.016,0.015,0.014,0.012,0.009,0.001,0.001,0.002,0.004,0.003,0.009
5,0.029,0.029,0.031,0.027,0.028,0.023,0.003,0.003,0.004,0.005,0.005,0.011
6,0.064,0.058,0.066,0.056,0.064,0.053,0.009,0.008,0.01,0.011,0.012,0.009
7,0.152,0.13,0.162,0.127,0.165,0.126,0.026,0.024,0.025,0.026,0.028,0.024
8,0.383,0.304,0.439,0.303,0.465,0.307,0.066,0.059,0.061,0.061,0.067,0.059
9,0.611,0.451,0.616,0.45,0.519,0.454,0.2,0.157,0.167,0.159,0.247,0.16
10,0.657,0.626,0.649,0.625,0.629,0.63,0.537,0.414,0.436,0.413,0.586,0.41
11,0.786,0.773,0.776,0.771,0.759,0.777,0.715,0.606,0.696,0.608,0.74,0.603
12,0.868,0.872,0.858,0.87,0.846,0.872,0.712,0.715,0.712,0.723,0.723,0.722
13,0.893,0.907,0.879,0.902,0.869,0.903,0.834,0.848,0.842,0.856,0.837,0.861
14,0.928,0.932,0.911,0.927,0.895,0.93,0.893,0.919,0.891,0.928,0.886,0.928
15,0.967,0.959,0.947,0.953,0.963,0.959,0.922,0.94,0.921,0.947,0.918,0.948
16,0.989,0.988,0.969,0.979,0.964,0.988,0.958,0.962,0.967,0.968,0.949,0.97
17,1.015,1.016,0.992,1.007,0.974,1.02,0.985,0.996,1.003,0.994,0.966,0.996
18,1.042,1.047,1.02,1.039,0.996,1.049,1.012,1.02,1.034,1.017,0.978,1.015
19,1.065,1.072,1.047,1.067,1.024,1.075,1.026,1.044,1.042,1.042,1.001,1.048
20,1.078,1.089,1.06,1.084,1.04,1.09,1.032,1.071,1.046,1.07,1.015,1.079
21,1.091,1.107,1.075,1.103,1.055,1.106,1.038,1.095,1.048,1.096,1.034,1.099
22,1.096,1.116,1.082,1.111,1.063,1.114,1.029,1.097,1.039,1.094,1.038,1.099
23,1.106,1.13,1.092,1.126,1.075,1.127,1.03,1.103,1.039,1.101,1.039,1.108
24,1.113,1.138,1.097,1.134,1.08,1.134,1.03,1.108,1.035,1.108,1.042,1.119